"f"	"F"	"fr"	"fra"
"G-02"	147	147	0.30625	0.30625
"G-04"	48	195	0.1	0.40625
"G-05"	3	198	0.00625	0.4125
"G-06"	32	230	0.0666666666666667	0.479166666666667
"G-07"	101	331	0.210416666666667	0.689583333333333
"G-08"	116	447	0.241666666666667	0.93125
"G-09"	5	452	0.0104166666666667	0.941666666666667
"G-10"	4	456	0.00833333333333333	0.95
"G-11"	13	469	0.0270833333333333	0.977083333333333
"G-12"	11	480	0.0229166666666667	1
"total"	480	NA	1	NA
